Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
1, eco6, 4, 3, -200.2, 14109.6, 27500.7, 1019.5, 292.5, 323.6, 476.1, 7.21, 633.9, 39.4, 248.7, 87.1, 12684.1, 3171, 1509.9, 478, 43.1, 11.7, 14.8, 1, 232.1, 434.1, 8721.8, 4721.6, 7.7, 1.5, 37.4, 36.2, 4.5, 5.5, 0.2, 0.4, 0.1, 0.1, 5.9, 44.9, 217.1, 265.1, 0.2, -1.5, 0.1, 0.2, 8.1, 17.7, -15.2, 0, 1.7, 4.46, 0.53, 0, 0, 13.1, 5.7, 541.1, 0.01, 0, 
1, eco7, 5, 44, -181.3, 11223.9, 17036.7, 699.3, 201.5, 234.5, 303.6, 4.53, 496.2, 24.5, 251.9, 88.2, 7763.1, 1940.8, 976.8, 310.3, 27.3, 11, 11.4, 1, 238.1, 340.7, 6737.9, 3907.2, 7.2, 1.4, 23.5, 22.2, 3, 3.5, 0.1, 0.4, 0.1, 0.1, 6.5, 33.7, 127.4, 262.6, 0.2, -1.2, 0.1, 0.2, 5.6, 11.5, -9.7, 0, 1.7, 4.52, 0.52, 0, 0, 9.5, 3.9, 435.3, 0, 0, 
1, eco8, 6, 6, -160.3, 8891.5, 15587.2, 637.9, 184, 214.9, 274.8, 9.04, 342.6, 22.7, 240.7, 84.3, 7092, 1773, 893.4, 284.5, 25, 10.5, 10.6, 0.9, 169, 282.2, 5299, 3141.4, 6.9, 1.4, 21.3, 20, 2.7, 3.2, 0.1, 0.3, 0.1, 0.1, 4.7, 28.5, 97, 147.3, 0.2, -1.2, 0.1, -0.3, 5.2, 10.9, -8.9, 0, 1.7, 4.88, 0.77, 0, 0, 9.4, 3.5, 287.2, 0.01, 0, 
1, eco10, 7, 1861, -172, 13240.6, 15379, 626.6, 179.9, 203.5, 285.5, 4.3, 580.6, 21.1, 213.9, 74.9, 7021.3, 1755.3, 886.6, 316, 23.3, 8.6, 12.7, 1.2, 252.7, 413.4, 7589.2, 4985.3, 6.3, 1.3, 23.6, 21.6, 3.1, 3.9, 0.1, 0.3, 0.1, 0.1, 6.6, 40.3, 153.7, 315.4, 0.2, -1.1, 0.1, 0.1, 5, 9.3, -7.9, 0, 1.7, 2.8, 0.35, 0, 0, 8.7, 3.6, 520.9, 0, 0, 
1, eco11, 8, 554, -173.8, 14467.5, 12136.1, 521.9, 149.4, 168.2, 240, 5.05, 568.8, 15.2, 173.4, 60.7, 5537.1, 1384.3, 727.4, 256.8, 18.5, 7.1, 10.5, 1, 328.9, 434.1, 8003.8, 5700.7, 5.2, 1.1, 17.2, 17.6, 2.2, 3.4, 0.1, 0.2, 0.1, 0.1, 8.4, 39.7, 147.1, 321.4, 0.1, -0.9, 0.1, 0, 4.1, 6.1, -5, 0, 1.7, 2.23, 0.33, 0, 0, 7.4, 3.1, 522.1, 0.01, 0, 
1, eco12, 9, 71, -129.6, 12922.9, 20796.7, 767.8, 221.7, 251, 371.7, 3.59, 692.2, 29.9, 324.4, 113.5, 9457.3, 2364.3, 1222.9, 425.6, 31.6, 11.1, 15.4, 1.8, 220.9, 379.1, 7808.8, 4514.2, 8.8, 1.8, 27.6, 26.9, 3.6, 4.8, 0.2, 0.4, 0.1, 0.1, 5.4, 39, 191.8, 378.2, 0.2, -1.2, 0.1, 0.1, 6.2, 13.4, -12.1, 0, 1.7, 2.27, 0.27, 0, 0, 10.4, 4, 618.7, 0, 0, 
1, eco14, 10, 1, -184.8, 13727.9, 16395, 669.6, 193, 226.1, 288.4, 4.13, 503.8, 22.4, 241.1, 84.4, 7472.1, 1868, 934.8, 360.6, 26.6, 10.7, 15.7, 1.5, 262.6, 443.6, 7999.8, 5021.8, 7, 1.4, 22.3, 21.1, 2.8, 4, 0.1, 0.3, 0.1, 0.1, 7.2, 42.5, 114.7, 276, 0.2, -1.2, 0.1, 0.1, 5.3, 10.8, -9.2, 0, 1.7, 4.96, 0.57, 0, 0, 8.9, 3.7, 445.2, 0, 0, 
1, eco16, 11, 3333, -157.4, 8676.2, 21606.9, 804, 229.9, 252.4, 380.7, 8.56, 470.8, 31.2, 181, 63.4, 9981.5, 2495.4, 1170.1, 468.9, 35.3, 7.7, 18.8, 1.8, 182.4, 229.3, 5049.5, 3215, 5.9, 1.1, 29.6, 29.6, 3.5, 5.6, 0.2, 0.3, 0.1, 0.1, 4.6, 24.1, 114.8, 242.7, 0.2, -1.1, 0.1, 0.1, 6.4, 14.6, -12.3, 0, 1.7, 2.79, 0.39, 0, 0, 11, 4.6, 395.5, 0.01, 0, 
1, eco17, 12, 7434, 26.3, 9909.1, 34794.5, 1018, 290.4, 293.6, 599.3, 9.48, 795, 50.6, 173.5, 60.7, 16187, 4046.7, 1842.1, 753, 45.7, 7, 24, 1.9, 123.8, 454.9, 5031.8, 4298.5, 6.6, 1.2, 47.7, 47.9, 5.5, 9, 0.2, 0.3, 0.1, 0.1, 2.4, 50.2, 174.7, 439.4, 0.2, -1.1, 0.1, 0.1, 8.1, 19.2, -18.2, 0, 1.7, 0, 0, 0, 0, 14.4, 5.7, 677.1, 0.01, 0, 
1, eco18, 13, 2972, -142, 5212.3, 21539.7, 818.4, 234.9, 260, 387.7, 5.53, 354.4, 33.2, 255.8, 89.5, 9874.1, 2468.5, 1218.7, 487.2, 33.5, 10.3, 19.8, 2.1, 87.9, 165.3, 3116.6, 1842.5, 7.6, 1.5, 29.7, 29.1, 3.7, 5.7, 0.2, 0.4, 0.1, 0.1, 2.1, 18.2, 84.9, 165.7, 0.2, -1.3, 0.1, 0, 6.5, 14.8, -12.3, 0, 1.7, 2.08, 0.27, 0, 0, 11.5, 4.5, 277.2, 0, 0, 
