Time,EcoregionName,EcoregionIndex,NumSites,AGB,
16, eco2,1,1239,10337.7, 
16, eco3,2,689,24724.4, 
16, eco4,3,23,16194.6, 
16, eco6,4,3,22875.3, 
16, eco7,5,44,15982.1, 
16, eco8,6,6,13795.7, 
16, eco10,7,1861,15815.5, 
16, eco11,8,554,14701.5, 
16, eco12,9,71,22111.7, 
16, eco14,10,1,14776, 
16, eco16,11,3333,18966.3, 
16, eco17,12,7434,29892, 
16, eco18,13,2972,20572.2, 
16, eco19,14,2108,24291.3, 
16, eco20,15,39,20825.2, 
16, eco21,16,98,15950.5, 
16, eco22,17,695,20476.7, 
16, eco23,18,688,17015.2, 
16, eco24,19,567,19366.1, 
16, eco25,20,12,9305.2, 
16, eco26,21,860,17374.9, 
16, eco27,22,878,14661.2, 
16, eco28,23,746,15068.6, 
16, eco29,24,2644,19865.3, 
16, eco30,25,39,18514.4, 
17, eco1,0,32,17867.7, 
17, eco2,1,1239,10532, 
17, eco3,2,689,25139.3, 
17, eco4,3,23,16460.8, 
17, eco6,4,3,23370, 
17, eco7,5,44,16248.6, 
17, eco8,6,6,14015, 
17, eco10,7,1861,16095.2, 
17, eco11,8,554,14983.1, 
17, eco12,9,71,22506.9, 
17, eco14,10,1,15025, 
17, eco16,11,3333,19310.3, 
17, eco17,12,7434,30329.9, 
17, eco18,13,2972,20950.7, 
17, eco19,14,2108,24581.6, 
17, eco20,15,39,21120.4, 
17, eco21,16,98,16290.5, 
17, eco22,17,695,21033.6, 
17, eco23,18,688,17355.8, 
17, eco24,19,567,19788.3, 
17, eco25,20,12,9594.2, 
17, eco26,21,860,17619.7, 
17, eco27,22,878,14917.6, 
17, eco28,23,746,15339.5, 
17, eco29,24,2644,20101.3, 
17, eco30,25,39,18856.6, 
18, eco1,0,32,18212.9, 
18, eco2,1,1239,10727.7, 
18, eco3,2,689,25552.8, 
18, eco4,3,23,16723.3, 
18, eco6,4,3,23878.7, 
18, eco7,5,44,16512.6, 
18, eco8,6,6,14268.2, 
18, eco10,7,1861,16378.8, 
18, eco11,8,554,15264.1, 
18, eco12,9,71,22919.5, 
18, eco14,10,1,15262, 
18, eco16,11,3333,19656.1, 
18, eco17,12,7434,30759, 
18, eco18,13,2972,21328, 
18, eco19,14,2108,24868, 
18, eco20,15,39,21418.8, 
18, eco21,16,98,16627.4, 
18, eco22,17,695,21591.1, 
18, eco23,18,688,17697.7, 
18, eco24,19,567,20206.8, 
18, eco25,20,12,9900.5, 
18, eco26,21,860,17860.9, 
18, eco27,22,878,15173.9, 
18, eco28,23,746,15614.6, 
18, eco29,24,2644,20337.6, 
18, eco30,25,39,19207.6, 
19, eco1,0,32,18552.8, 
19, eco2,1,1239,10927.6, 
19, eco3,2,689,25965.6, 
19, eco4,3,23,17007.9, 
19, eco6,4,3,24405.3, 
19, eco7,5,44,16778.4, 
19, eco8,6,6,14492.7, 
19, eco10,7,1861,16662.6, 
19, eco11,8,554,15546.4, 
19, eco12,9,71,23327.6, 
19, eco14,10,1,15495, 
19, eco16,11,3333,20002.1, 
19, eco17,12,7434,31178.6, 
19, eco18,13,2972,21704.8, 
19, eco19,14,2108,25150.2, 
19, eco20,15,39,21708.5, 
19, eco21,16,98,16965.2, 
19, eco22,17,695,22150.4, 
19, eco23,18,688,18041.1, 
19, eco24,19,567,20628.2, 
19, eco25,20,12,10221.9, 
19, eco26,21,860,18101.3, 
19, eco27,22,878,15433.3, 
19, eco28,23,746,15889.9, 
19, eco29,24,2644,20572.8, 
19, eco30,25,39,19550.7, 
20, eco1,0,32,18887.9, 
20, eco2,1,1239,11130.3, 
20, eco3,2,689,26374, 
20, eco4,3,23,17282.4, 
20, eco6,4,3,24909, 
20, eco7,5,44,17044, 
20, eco8,6,6,14736.2, 
20, eco10,7,1861,16947.7, 
20, eco11,8,554,15831.2, 
20, eco12,9,71,23740, 
20, eco14,10,1,15769, 
20, eco16,11,3333,20349.2, 
20, eco17,12,7434,31585.8, 
20, eco18,13,2972,22078.3, 
20, eco19,14,2108,25426.6, 
20, eco20,15,39,21987.1, 
20, eco21,16,98,17301.8, 
20, eco22,17,695,22709.2, 
20, eco23,18,688,18383.1, 
20, eco24,19,567,21045.1, 
20, eco25,20,12,10538.7, 
20, eco26,21,860,18339.4, 
20, eco27,22,878,15688.2, 
20, eco28,23,746,16170.8, 
20, eco29,24,2644,20807, 
20, eco30,25,39,19889.5, 
21, eco1,0,32,19219.2, 
21, eco2,1,1239,11335.4, 
21, eco3,2,689,26780.7, 
21, eco4,3,23,17556, 
21, eco6,4,3,25414.7, 
21, eco7,5,44,17317.2, 
21, eco8,6,6,14998.7, 
21, eco10,7,1861,17233.1, 
21, eco11,8,554,16115.8, 
21, eco12,9,71,24147.1, 
21, eco14,10,1,16003, 
21, eco16,11,3333,20696.3, 
21, eco17,12,7434,31980.4, 
21, eco18,13,2972,22450.3, 
21, eco19,14,2108,25697.2, 
