"","Scenario","Time","AGB_M","AGB_SD","SRR_M","SRR_SD","Min_rate_M","Min_rate_SD","Fungi_M","Fungi_SD","GF_M","GF_SD","Lichen_M","Lichen_SD","Aesthetic_M","Aesthetic_SD","Recreation_M","Recreation_SD","Fungi_val_M","Fungi_val_SD","Carbon_flux_M","Carbon_flux_SD","Nitrogen_flux_M","Nitrogen_flux_SD","Timber_M","Timber_SD"
"196","Scenario 12",93,129.814271288657,59.4504931913804,4.14036228116423,0.138909569078549,22.4060064264714,2.08539680933529,1.99209101038823,0.188786681138648,16.050895960843,2.6390107043104,29.9357847084586,2.40774468010163,3.87354528434995,0.139519023912487,3.58813600541796,0.355807743884584,0.506558453042043,0.123590042601793,0.380344285231819,0.477255491159838,0.651530612244902,0.907532670560501,48.3144136724971,40.4871700818105
"197","Scenario 12",94,130.186057726637,59.8853572875441,4.14124324118693,0.139950591493961,22.3921070149344,2.10240789936132,1.99311164583768,0.18984913108084,16.0366692297067,2.65366554014866,29.9484236400555,2.42077433988008,3.87435227045932,0.140409419358418,3.59003690199965,0.357798382334469,0.507481782795964,0.124798305513186,0.365545773628604,0.468880845327764,0.652558257345491,0.91503968668037,49.052861195209,41.0708975675006
"198","Scenario 12",95,130.582028151686,60.3594259972998,4.14218210604296,0.141080767709988,22.3772613015233,2.12062428135173,1.99419093243001,0.191068798930946,16.0216715408158,2.67060266160159,29.9618481630999,2.43575056993613,3.87520917249317,0.141404167490181,3.59205996018592,0.36006860907471,0.508469962461372,0.126063378354591,0.378822646789207,0.465502620541072,0.640686061658697,0.909431491764129,49.76132874421,41.6042770022283
"199","Scenario 12",96,130.924970364742,60.7482918869689,4.14299465003419,0.142009247394664,22.3644450732767,2.13566458499922,1.99513327021497,0.192049688677359,16.0085565864576,2.68417665802723,29.9735577305294,2.44780812979139,3.87595419544352,0.142212814976099,3.59382186838682,0.361904406852757,0.509319569385685,0.127115857752104,0.361589629468816,0.430055142201946,0.656381772567186,0.918957601288476,50.4596807514486,42.1346421827485
"200","Scenario 12",97,131.256201343658,61.168763777196,4.14378120444204,0.14301528428592,22.3519429493545,2.15207360713975,1.99602075256285,0.193082969939677,15.9961930966619,2.69844684910325,29.9844907433605,2.46046570529623,3.87666420838527,0.143076233055738,3.59547219812912,0.363839666401034,0.510163126389563,0.128278296378331,0.355931381772564,0.448906882292588,0.662196651710326,0.904683811829793,51.2053598827624,42.6883372354458
"201","Scenario 12",98,131.62382697689,61.5376933059526,4.144650860177,0.143899313451958,22.3383006492831,2.16656553955867,1.9970486030765,0.193973737083394,15.9818475092517,2.71075381018425,29.9972454243454,2.47131549150006,3.87746973563747,0.143826975872119,3.59738793848149,0.365502631061224,0.511059199515573,0.129316032956468,0.372071271771122,0.414306561227487,0.646206638683841,0.908418978159713,51.9129036897613,43.221077451293
"202","Scenario 12",99,131.959208640903,61.9659230363974,4.14544770209338,0.144923342596969,22.3256115623618,2.18323773411707,1.99794164644981,0.195033659662519,15.9694111772636,2.72542387082019,30.008236750501,2.48426894248436,3.87818643300584,0.144709089709557,3.59904969051272,0.367482220475178,0.51191857468499,0.130495038284554,0.361282940126401,0.430431317398709,0.682879818594111,0.918641852666854,52.6597676387968,43.7698755700212
"203","Scenario 2",0,239.154498588797,77.8612276193921,4.39935986539137,0.18696214371535,18.324428731048,3.08561891645979,2.29338410158213,0.18299507915934,11.8028234952373,2.60351822407289,33.5850113327734,2.08345643466377,4.11113356950572,0.155869990203008,4.14762924606448,0.333912942351404,0.781009168340897,0.230295510069669,NA,NA,NA,NA,344.991306886393,161.493069786217
"204","Scenario 2",1,242.251232450427,77.8341907252358,4.4067793327118,0.187019351232809,18.2029174081229,3.09314204379308,2.30083222162391,0.181378313546958,11.6965379941559,2.5843976726602,33.669635906423,2.05317022228382,4.11741372626468,0.155154074730946,4.16131621083942,0.330480422703357,0.789950654598307,0.232086438685056,0.909250759878419,0.773942910715294,2.4386850484875,0.584708378784639,348.667724189536,162.250331769283
"205","Scenario 2",10,225.512606563902,65.7481297404854,4.36623058249018,0.156968891581604,18.8909658060013,2.54197600482281,2.26630794137194,0.166238239381424,12.2053053941919,2.33694362177751,33.3269071207254,1.98329281288282,4.08591465306396,0.136575972584387,4.10014015641798,0.307085310793809,0.7348419031668,0.180884757408428,1.13912228011772,1.11442998434677,2.38806629034592,0.421906117272265,300.895021907455,141.82067123393
