"","Scenario","variable","Time","Mean","SD"
"234","3","m_ilex_aqui",40,33.5964337896228,20.2720524169417
"235","3","m_ilex_aqui",50,33.8978803371895,19.8228361784241
"236","3","m_ilex_aqui",60,33.4628108530592,18.9237868122605
"237","3","m_ilex_aqui",70,32.4017582284222,17.5977506186741
"238","3","m_ilex_aqui",80,30.8419616522616,16.1922421357176
"239","3","m_ilex_aqui",90,29.0471300636909,15.0142176454917
"240","3","m_ilex_aqui",100,27.2312942072427,14.1667496368664
"241","4","m_betu_pend",0,10.7407202464987,5.92101895168877
"242","4","m_betu_pend",10,13.895528842263,7.01502376592848
"243","4","m_betu_pend",20,17.8643322045172,8.09827874565416
"244","4","m_betu_pend",30,21.8170852364214,8.96053279175076
"245","4","m_betu_pend",40,25.7828289209246,9.43547234657054
"246","4","m_betu_pend",50,29.5971735507911,9.56391701443679
"247","4","m_betu_pend",60,32.9677165125296,9.50116455333929
"248","4","m_betu_pend",70,35.7328143603663,9.44015451702447
"249","4","m_betu_pend",80,37.7012139665711,9.53153272790519
"250","4","m_betu_pend",90,38.9169251971013,9.97076666791626
"251","4","m_betu_pend",100,39.515642564392,10.8445779629585
"252","4","m_quercus",0,112.62815261581,58.2040997699516
"253","4","m_quercus",10,46.2982481599748,32.3074550904576
"254","4","m_quercus",20,52.9307110121378,33.366080181539
"255","4","m_quercus",30,59.527990573493,34.29867724954
"256","4","m_quercus",40,66.1556395534052,35.105836264635
"257","4","m_quercus",50,72.8719322107755,35.9366877655834
"258","4","m_quercus",60,79.7416723690982,36.6413110553549
"259","4","m_quercus",70,87.496794294464,36.8349583282173
"260","4","m_quercus",80,96.0599498660673,36.464633619689
"261","4","m_quercus",90,104.980998886872,35.6052808076635
"262","4","m_quercus",100,114.063343200872,34.4572476842845
"263","4","m_pinus_sylv",0,1.38998336636452,1.22894115421857
"264","4","m_pinus_sylv",10,1.75776098588312,1.51728077705267
"265","4","m_pinus_sylv",20,2.20703139931449,1.82241993513261
"266","4","m_pinus_sylv",30,2.80574844654607,2.13142945572178
"267","4","m_pinus_sylv",40,3.56185742009696,2.41119317207755
"268","4","m_pinus_sylv",50,4.42872190868283,2.65011510952137
"269","4","m_pinus_sylv",60,5.33466038384321,2.93637678566793
"270","4","m_pinus_sylv",70,6.19629362275441,3.30285685629365
"271","4","m_pinus_sylv",80,6.94715204001155,3.70475917311349
"272","4","m_pinus_sylv",90,7.53797205759566,4.11898366073087
"273","4","m_pinus_sylv",100,7.94506645758786,4.53228485586482
"274","4","m_fagus_sylv",0,79.1282831827026,44.7284836479118
"275","4","m_fagus_sylv",10,40.0081771809728,38.691032160225
"276","4","m_fagus_sylv",20,44.3863828131769,42.0928570526073
"277","4","m_fagus_sylv",30,48.3496242766823,44.4205750389917
"278","4","m_fagus_sylv",40,52.0818247286341,46.3378420800544
"279","4","m_fagus_sylv",50,55.7632548568003,48.0390610499118
"280","4","m_fagus_sylv",60,59.4096619426699,49.5635364320266
"281","4","m_fagus_sylv",70,63.054666769362,51.0303756719076
"282","4","m_fagus_sylv",80,66.750318325747,52.5044616884561
"283","4","m_fagus_sylv",90,70.5076984597939,53.9785919904858
"284","4","m_fagus_sylv",100,74.3368550698442,55.4324012182767
"285","4","m_ilex_aqui",0,21.5877819771685,17.5180198777401
"286","4","m_ilex_aqui",10,27.9951807634626,20.376379936756
"287","4","m_ilex_aqui",20,32.8921963354545,21.9272473355074
"288","4","m_ilex_aqui",30,36.454449812043,22.8021723471207
"289","4","m_ilex_aqui",40,39.0398526304184,23.1289081558112
"290","4","m_ilex_aqui",50,40.8195220213168,23.0178966698632
"291","4","m_ilex_aqui",60,41.7469217185824,22.523690513006
"292","4","m_ilex_aqui",70,41.7428870140727,21.6462293115167
"293","4","m_ilex_aqui",80,40.8062203896772,20.4187429752766
"294","4","m_ilex_aqui",90,39.1342306260085,18.9174425228254
"295","4","m_ilex_aqui",100,37.0307315171722,17.4795037005342
"296","5","m_betu_pend",0,10.7407202464987,5.92101895168877
"297","5","m_betu_pend",10,14.217237778733,6.97879029762897
"298","5","m_betu_pend",20,18.8955070460594,8.15817409453422
"299","5","m_betu_pend",30,23.750941294598,9.29883619821445
"300","5","m_betu_pend",40,28.6711172958927,10.1320796165061
"301","5","m_betu_pend",50,33.2958188162604,10.4466500956559
"302","5","m_betu_pend",60,37.3132041530941,10.1697528289936
"303","5","m_betu_pend",70,40.596023738061,9.43471353445834
"304","5","m_betu_pend",80,43.0533496289694,8.67188682427661
"305","5","m_betu_pend",90,44.7568715459129,8.54397739711787
"306","5","m_betu_pend",100,45.7900743606245,9.37585853708628
"307","5","m_quercus",0,112.62815261581,58.2040997699516
"308","5","m_quercus",10,25.9926876498111,16.4268759400585
"309","5","m_quercus",20,30.9361057932212,17.5849147910062
"310","5","m_quercus",30,35.6411319798166,18.6441505761705
"311","5","m_quercus",40,40.5482346306604,19.8740615959837
"312","5","m_quercus",50,45.8616821254028,21.4181805469085
"313","5","m_quercus",60,51.7957506602775,23.1400469205089
"314","5","m_quercus",70,59.3358427992362,24.7953037429351
"315","5","m_quercus",80,68.4107426686313,26.2531008693149
"316","5","m_quercus",90,78.4643266008471,27.4457143963658
"317","5","m_quercus",100,89.1175735121454,28.4210257324471
"318","5","m_pinus_sylv",0,1.38998336636452,1.22894115421857
"319","5","m_pinus_sylv",10,2.21561294437024,1.56992902653003
"320","5","m_pinus_sylv",20,3.23970506940285,2.1145489329015
"321","5","m_pinus_sylv",30,4.33538486563809,2.68777062708148
"322","5","m_pinus_sylv",40,5.49830872873756,3.19441378862799
"323","5","m_pinus_sylv",50,6.65723971567461,3.54669858271177
"324","5","m_pinus_sylv",60,7.7581955589364,3.75181757721544
"325","5","m_pinus_sylv",70,8.770958494013,3.94390656235908
"326","5","m_pinus_sylv",80,9.64514052815709,4.26093872785702
"327","5","m_pinus_sylv",90,10.3649752162302,4.74095851758342
"328","5","m_pinus_sylv",100,10.8810404494696,5.34167962690815
"329","5","m_fagus_sylv",0,79.1282831827026,44.7284836479118
"330","5","m_fagus_sylv",10,25.0018644830352,22.6485771753887
"331","5","m_fagus_sylv",20,27.8892530280634,24.778536950488
"332","5","m_fagus_sylv",30,30.6070823092646,26.6384509011179
"333","5","m_fagus_sylv",40,33.3176013639691,28.4907495614201
"334","5","m_fagus_sylv",50,36.169560658197,30.4563264625651
"335","5","m_fagus_sylv",60,39.2541158424968,32.6192276645919
"336","5","m_fagus_sylv",70,42.5611381312551,34.9920853510102
"337","5","m_fagus_sylv",80,46.0415352207127,37.5335613415056
"338","5","m_fagus_sylv",90,49.6944041051887,40.2194889514086
"339","5","m_fagus_sylv",100,53.5249124411301,43.0161875143013
"340","5","m_ilex_aqui",0,21.5877819771685,17.5180198777401
"341","5","m_ilex_aqui",10,28.857883999551,19.8453139534932
"342","5","m_ilex_aqui",20,34.8158829987948,20.8861326750222
"343","5","m_ilex_aqui",30,39.313094124191,21.4489497756897
"344","5","m_ilex_aqui",40,42.6273986985968,21.5839842644673
"345","5","m_ilex_aqui",50,44.89645937409,21.3119557112338
"346","5","m_ilex_aqui",60,46.1686656737076,20.6349739744628
"347","5","m_ilex_aqui",70,46.4238204339095,19.6086610677769
"348","5","m_ilex_aqui",80,45.6973444521579,18.3448894076008
"349","5","m_ilex_aqui",90,44.1384046251552,16.9592683874634
"350","5","m_ilex_aqui",100,42.010999262015,15.7936274052136
"351","6","m_betu_pend",0,10.7407202464987,5.92101895168877
"352","6","m_betu_pend",10,14.6586096321475,6.90183354890592
"353","6","m_betu_pend",20,20.0995303077604,8.29498438325238
"354","6","m_betu_pend",30,25.8390925008827,9.88205815001334
"355","6","m_betu_pend",40,31.7910612547617,11.2385978644942
"356","6","m_betu_pend",50,37.6428727747989,12.0924220041261
"357","6","m_betu_pend",60,43.0096614326149,12.2232407827365
"358","6","m_betu_pend",70,47.6522005912614,11.4350335332474
"359","6","m_betu_pend",80,51.2804629418429,9.73321724329247
"360","6","m_betu_pend",90,53.9650694295511,7.80593659750535
"361","6","m_betu_pend",100,55.8525950373401,6.80012581984112
"362","6","m_quercus",0,112.62815261581,58.2040997699516
"363","6","m_quercus",10,2.56180508022941,0.55609973211131
"364","6","m_quercus",20,4.56243306970369,0.840494093083796
"365","6","m_quercus",30,6.50151145921255,1.36774550296942
"366","6","m_quercus",40,8.84481504067341,2.40610250622512
"367","6","m_quercus",50,11.7526294407456,3.97198654078556
"368","6","m_quercus",60,15.6282316435696,6.06526120918183
"369","6","m_quercus",70,21.8665692161475,8.55393327227464
"370","6","m_quercus",80,30.3193231868758,11.121546202939
"371","6","m_quercus",90,40.1401944382302,13.452410908107
"372","6","m_quercus",100,50.9774546299776,15.4971392085162
"373","6","m_pinus_sylv",0,1.38998336636452,1.22894115421857
"374","6","m_pinus_sylv",10,2.31069946761552,1.62277942336539
"375","6","m_pinus_sylv",20,3.48844881259958,2.27649283712242
"376","6","m_pinus_sylv",30,4.77978657299642,2.96734868603672
"377","6","m_pinus_sylv",40,6.19967875933523,3.59503501791881
"378","6","m_pinus_sylv",50,7.70038786488473,4.08341398020257
"379","6","m_pinus_sylv",60,9.21561434946886,4.4354982501881
"380","6","m_pinus_sylv",70,10.6792237930333,4.72353836705683
"381","6","m_pinus_sylv",80,11.9674158614111,5.07940355679614
"382","6","m_pinus_sylv",90,13.045032349728,5.63264160652549
"383","6","m_pinus_sylv",100,13.8731035419769,6.37910972587793
"384","6","m_fagus_sylv",0,79.1282831827026,44.7284836479118
"385","6","m_fagus_sylv",10,2.07794352822546,1.53818658789502
"386","6","m_fagus_sylv",20,3.25003696379811,2.69030254489189
"387","6","m_fagus_sylv",30,4.73545998163482,4.32432865699182
"388","6","m_fagus_sylv",40,6.68913928530085,6.61422402976094
"389","6","m_fagus_sylv",50,9.15093300163254,9.59553874025035
"390","6","m_fagus_sylv",60,12.1213397193311,13.2253711199725
"391","6","m_fagus_sylv",70,15.4852446412723,17.2863550025399
"392","6","m_fagus_sylv",80,19.1065156725702,21.5447137373578
"393","6","m_fagus_sylv",90,22.91911228548,25.8850381095009
"394","6","m_fagus_sylv",100,26.8997892946341,30.2627005677579
"395","6","m_ilex_aqui",0,21.5877819771685,17.5180198777401
"396","6","m_ilex_aqui",10,29.9831752953783,19.5058000801333
"397","6","m_ilex_aqui",20,37.2642881477523,20.4649248202475
"398","6","m_ilex_aqui",30,42.9236525143123,21.0483473377867
"399","6","m_ilex_aqui",40,47.3866433278311,21.146082539544
"400","6","m_ilex_aqui",50,50.7269830594945,20.7370018197682
"401","6","m_ilex_aqui",60,52.9601342633747,19.8204738389437
"402","6","m_ilex_aqui",70,54.0600040080817,18.4754170815063
"403","6","m_ilex_aqui",80,53.9725515280326,16.8809786495173
"404","6","m_ilex_aqui",90,52.8466846546901,15.2997945059055
"405","6","m_ilex_aqui",100,50.9721397344234,14.2240894716893
